Store,Dept,Date,Weekly_Sales,IsHoliday
20,1,05/02/2010,46021.21,FALSE
20,1,12/02/2010,52734.17,TRUE
20,1,19/02/2010,55649.79,FALSE
20,1,26/02/2010,36805.42,FALSE
20,1,05/03/2010,41206.78,FALSE
20,1,12/03/2010,47291.77,FALSE
20,1,19/03/2010,52993,FALSE
20,1,26/03/2010,61598.76,FALSE
20,1,02/04/2010,149743.97,FALSE
20,1,09/04/2010,72907.28,FALSE
20,1,16/04/2010,28442.72,FALSE
20,1,23/04/2010,26674.31,FALSE
20,1,30/04/2010,29921.48,FALSE
20,1,07/05/2010,31954.76,FALSE
20,1,14/05/2010,33099.95,FALSE
20,1,21/05/2010,30537.27,FALSE
20,1,28/05/2010,30572.21,FALSE
20,1,04/06/2010,33117.37,FALSE
20,1,11/06/2010,34623.76,FALSE
20,1,18/06/2010,33087.19,FALSE
20,1,25/06/2010,32662.01,FALSE
20,1,02/07/2010,33335.14,FALSE
20,1,09/07/2010,32132.21,FALSE
20,1,16/07/2010,32690.31,FALSE
20,1,23/07/2010,31557.78,FALSE
20,1,30/07/2010,33465.12,FALSE
20,1,06/08/2010,31967.03,FALSE
20,1,13/08/2010,33041.11,FALSE
20,1,20/08/2010,30932.55,FALSE
20,1,27/08/2010,30198.35,FALSE
20,1,03/09/2010,33395.52,FALSE
20,1,10/09/2010,35321.83,TRUE
20,1,17/09/2010,35979.27,FALSE
20,1,24/09/2010,34498.53,FALSE
20,1,01/10/2010,39475.99,FALSE
20,1,08/10/2010,45927.44,FALSE
20,1,15/10/2010,51450.76,FALSE
20,1,22/10/2010,54418.87,FALSE
20,1,29/10/2010,73211.05,FALSE
20,1,05/11/2010,50538.24,FALSE
20,1,12/11/2010,33810.07,FALSE
20,1,19/11/2010,37717.39,FALSE
20,1,26/11/2010,33534.26,TRUE
20,1,03/12/2010,52183.9,FALSE
20,1,10/12/2010,75751.3,FALSE
20,1,17/12/2010,86964.92,FALSE
20,1,24/12/2010,102070.88,FALSE
20,1,31/12/2010,28321.75,TRUE
20,1,07/01/2011,24790.5,FALSE
20,1,14/01/2011,27435.94,FALSE
20,1,21/01/2011,26836.37,FALSE
20,1,28/01/2011,27560.72,FALSE
20,1,04/02/2011,37792.4,FALSE
20,1,11/02/2011,47343.72,TRUE
20,1,18/02/2011,46435.62,FALSE
20,1,25/02/2011,26356.65,FALSE
20,1,04/03/2011,33533.5,FALSE
20,1,11/03/2011,35287.24,FALSE
20,1,18/03/2011,37763.73,FALSE
20,1,25/03/2011,37821.15,FALSE
20,1,01/04/2011,42700.12,FALSE
20,1,08/04/2011,55117.78,FALSE
20,1,15/04/2011,69607.88,FALSE
20,1,22/04/2011,143220.96,FALSE
20,1,29/04/2011,66742.11,FALSE
20,1,06/05/2011,28781.23,FALSE
20,1,13/05/2011,27882.2,FALSE
20,1,20/05/2011,25801.42,FALSE
20,1,27/05/2011,26102.68,FALSE
20,1,03/06/2011,25546.77,FALSE
20,1,10/06/2011,27987.53,FALSE
20,1,17/06/2011,26817.39,FALSE
20,1,24/06/2011,27105.73,FALSE
20,1,01/07/2011,28869.33,FALSE
20,1,08/07/2011,28313.18,FALSE
20,1,15/07/2011,30799.09,FALSE
20,1,22/07/2011,27924.63,FALSE
20,1,29/07/2011,27667.86,FALSE
20,1,05/08/2011,30183.63,FALSE
20,1,12/08/2011,28610.36,FALSE
20,1,19/08/2011,27112.03,FALSE
20,1,26/08/2011,26436.44,FALSE
20,1,02/09/2011,29761.82,FALSE
20,1,09/09/2011,33598.29,TRUE
20,1,16/09/2011,34346.27,FALSE
20,1,23/09/2011,32493.06,FALSE
20,1,30/09/2011,34749.48,FALSE
20,1,07/10/2011,40450.61,FALSE
20,1,14/10/2011,44568.88,FALSE
20,1,21/10/2011,48956.38,FALSE
20,1,28/10/2011,68113.21,FALSE
20,1,04/11/2011,48060.84,FALSE
20,1,11/11/2011,29442.92,FALSE
20,1,18/11/2011,34233.84,FALSE
20,1,25/11/2011,29448.76,TRUE
20,1,02/12/2011,37713.25,FALSE
20,1,09/12/2011,52336.26,FALSE
20,1,16/12/2011,69342.61,FALSE
20,1,23/12/2011,93745.04,FALSE
20,1,30/12/2011,37050.89,TRUE
20,1,06/01/2012,26398.28,FALSE
20,1,13/01/2012,25424.25,FALSE
20,1,20/01/2012,24174.62,FALSE
20,1,27/01/2012,26339.8,FALSE
20,1,03/02/2012,35899.22,FALSE
20,1,10/02/2012,48824.09,TRUE
20,1,17/02/2012,56760.68,FALSE
20,1,24/02/2012,30923.76,FALSE
20,1,02/03/2012,32179.15,FALSE
20,1,09/03/2012,39741.25,FALSE
