Store,Dept,Date,Weekly_Sales,IsHoliday
25,1,05/02/2010,17778.48,FALSE
25,1,12/02/2010,21868.27,TRUE
25,1,19/02/2010,21305.96,FALSE
25,1,26/02/2010,16994.59,FALSE
25,1,05/03/2010,19323.31,FALSE
25,1,12/03/2010,19216.51,FALSE
25,1,19/03/2010,20786.77,FALSE
25,1,26/03/2010,27648.75,FALSE
25,1,02/04/2010,58125.23,FALSE
25,1,09/04/2010,28852.78,FALSE
25,1,16/04/2010,13379.95,FALSE
25,1,23/04/2010,13850.49,FALSE
25,1,30/04/2010,14100.81,FALSE
25,1,07/05/2010,14960.88,FALSE
25,1,14/05/2010,15217.47,FALSE
25,1,21/05/2010,15500.26,FALSE
25,1,28/05/2010,15191.17,FALSE
25,1,04/06/2010,14135.99,FALSE
25,1,11/06/2010,16143.7,FALSE
25,1,18/06/2010,16494.5,FALSE
25,1,25/06/2010,16085.84,FALSE
25,1,02/07/2010,15874.73,FALSE
25,1,09/07/2010,14629.01,FALSE
25,1,16/07/2010,15772.88,FALSE
25,1,23/07/2010,14783.36,FALSE
25,1,30/07/2010,15872.97,FALSE
25,1,06/08/2010,14542.85,FALSE
25,1,13/08/2010,13609.59,FALSE
25,1,20/08/2010,13556.51,FALSE
25,1,27/08/2010,14325.87,FALSE
25,1,03/09/2010,13997.07,FALSE
25,1,10/09/2010,16406.33,TRUE
25,1,17/09/2010,17601.99,FALSE
25,1,24/09/2010,20283.95,FALSE
25,1,01/10/2010,23987.41,FALSE
25,1,08/10/2010,27418.38,FALSE
25,1,15/10/2010,28241.07,FALSE
25,1,22/10/2010,32715.46,FALSE
25,1,29/10/2010,48531.39,FALSE
25,1,05/11/2010,29886.88,FALSE
25,1,12/11/2010,13205.9,FALSE
25,1,19/11/2010,15345.82,FALSE
25,1,26/11/2010,18398.12,TRUE
25,1,03/12/2010,23773.08,FALSE
25,1,10/12/2010,34612.78,FALSE
25,1,17/12/2010,48561.44,FALSE
25,1,24/12/2010,56632.23,FALSE
25,1,31/12/2010,14669.8,TRUE
25,1,07/01/2011,10809.41,FALSE
25,1,14/01/2011,11928.65,FALSE
25,1,21/01/2011,14052.99,FALSE
25,1,28/01/2011,14426.19,FALSE
25,1,04/02/2011,17872.51,FALSE
25,1,11/02/2011,24166.09,TRUE
25,1,18/02/2011,27129.13,FALSE
25,1,25/02/2011,14392.59,FALSE
25,1,04/03/2011,17386.22,FALSE
25,1,11/03/2011,16041.87,FALSE
25,1,18/03/2011,16933.55,FALSE
25,1,25/03/2011,19249.28,FALSE
25,1,01/04/2011,20034.94,FALSE
25,1,08/04/2011,23107.47,FALSE
25,1,15/04/2011,31414.13,FALSE
25,1,22/04/2011,60900.48,FALSE
25,1,29/04/2011,28391.24,FALSE
25,1,06/05/2011,13767.7,FALSE
25,1,13/05/2011,12808.05,FALSE
25,1,20/05/2011,13480.95,FALSE
25,1,27/05/2011,15045.31,FALSE
25,1,03/06/2011,14194.66,FALSE
25,1,10/06/2011,14446.6,FALSE
25,1,17/06/2011,15908.15,FALSE
25,1,24/06/2011,15197.98,FALSE
25,1,01/07/2011,15556.03,FALSE
25,1,08/07/2011,15003.85,FALSE
25,1,15/07/2011,14777.14,FALSE
25,1,22/07/2011,14130.56,FALSE
25,1,29/07/2011,14746.93,FALSE
25,1,05/08/2011,13982.41,FALSE
25,1,12/08/2011,13697.23,FALSE
25,1,19/08/2011,15201.89,FALSE
25,1,26/08/2011,14639.68,FALSE
25,1,02/09/2011,15661.68,FALSE
25,1,09/09/2011,16640.33,TRUE
25,1,16/09/2011,16022.78,FALSE
25,1,23/09/2011,16042.42,FALSE
25,1,30/09/2011,18402.05,FALSE
25,1,07/10/2011,20523.8,FALSE
25,1,14/10/2011,22743.71,FALSE
25,1,21/10/2011,30982.01,FALSE
25,1,28/10/2011,40619.89,FALSE
25,1,04/11/2011,40691.37,FALSE
25,1,11/11/2011,16508.85,FALSE
25,1,18/11/2011,16438.97,FALSE
25,1,25/11/2011,16934.03,TRUE
25,1,02/12/2011,23824.65,FALSE
25,1,09/12/2011,32100.37,FALSE
25,1,16/12/2011,43510.46,FALSE
25,1,23/12/2011,53439.71,FALSE
25,1,30/12/2011,17463.48,TRUE
25,1,06/01/2012,10909.77,FALSE
25,1,13/01/2012,11107.42,FALSE
25,1,20/01/2012,12285.48,FALSE
25,1,27/01/2012,13600.06,FALSE
25,1,03/02/2012,16222.88,FALSE
25,1,10/02/2012,22435.9,TRUE
25,1,17/02/2012,28817.01,FALSE
25,1,24/02/2012,14726.22,FALSE
25,1,02/03/2012,15644.27,FALSE
25,1,09/03/2012,17649,FALSE
25,1,16/03/2012,21162.08,FALSE
25,1,23/03/2012,23631.08,FALSE
25,1,30/03/2012,34180.68,FALSE
25,1,06/04/2012,55915.73,FALSE
25,1,13/04/2012,26953.36,FALSE
25,1,20/04/2012,11766.43,FALSE
25,1,27/04/2012,13628.88,FALSE
25,1,04/05/2012,12284.97,FALSE
25,1,11/05/2012,12838.89,FALSE
25,1,18/05/2012,13137.72,FALSE
25,1,25/05/2012,13240,FALSE
25,1,01/06/2012,10854.97,FALSE
25,1,08/06/2012,13837.35,FALSE
25,1,15/06/2012,14456.63,FALSE
25,1,22/06/2012,13162.15,FALSE
25,1,29/06/2012,14364.32,FALSE
25,1,06/07/2012,14636.96,FALSE
25,1,13/07/2012,14238.01,FALSE
25,1,20/07/2012,14782.23,FALSE
25,1,27/07/2012,13558.57,FALSE
